num_layers,num_nodes,learning_rate,epochs,optimizer,num_splits,test_loss,r2
3,512,0.001,500,ADAM,10,0.0092786038294434,0.98431489072345
3,512,0.0001,50,SGD,5,0.5918974876403809,0.0076158564622936
3,512,0.0001,50,SGD,10,0.5664318799972534,0.0357504099531592
3,512,0.0001,50,RMSprop,5,0.0061971293762326,0.9906212743895
3,512,0.0001,50,RMSprop,10,0.0106105525046586,0.9837725903591736
3,512,0.0001,50,ADAM,5,0.0035200014244765,0.9946883595737736
3,512,0.0001,50,ADAM,10,0.0033462222199887,0.9948338033221747
3,512,0.0001,100,SGD,5,0.5650480389595032,0.0509684092911685
3,512,0.0001,100,SGD,10,0.4885239899158478,0.1619126993911736
3,512,0.0001,100,RMSprop,5,0.0095942206680774,0.9856837342803222
3,512,0.0001,100,RMSprop,10,0.0086498046293854,0.986843229128908
3,512,0.0001,100,ADAM,5,0.0040631187148392,0.9938829035654212
3,512,0.0001,100,ADAM,10,0.0033140399027615,0.9948026537208128
3,512,0.0001,500,SGD,5,0.2179562896490097,0.5833349916917331
3,512,0.0001,500,SGD,10,0.0493701621890068,0.9175204309142034
3,512,0.0001,500,RMSprop,5,0.0067101577296853,0.989968214090112
3,512,0.0001,500,RMSprop,10,0.0056317280977964,0.9893575054955503
3,512,0.0001,500,ADAM,5,0.0040169758722186,0.9940090812142096
3,512,0.0001,500,ADAM,10,0.0035393075086176,0.9946687835440609
3,512,1e-05,50,SGD,5,0.6615225672721863,-0.1141672731035517
3,512,1e-05,50,SGD,10,0.634194016456604,-0.0718375542918589
3,512,1e-05,50,RMSprop,5,0.005673122126609,0.9918909859138751
3,512,1e-05,50,RMSprop,10,0.0052245040424168,0.9924796412247678
3,512,1e-05,50,ADAM,5,0.0065522738732397,0.9908140739457492
3,512,1e-05,50,ADAM,10,0.0063036694191396,0.9911778125029432
3,512,1e-05,100,SGD,5,0.6314120292663574,-0.0671094814477874
3,512,1e-05,100,SGD,10,0.614082932472229,-0.0335236223346951
3,512,1e-05,100,RMSprop,5,0.0072559528052806,0.9900237915487404
3,512,1e-05,100,RMSprop,10,0.0041522807441651,0.9939270536253916
3,512,1e-05,100,ADAM,5,0.0068519888445734,0.990236468839854
3,512,1e-05,100,ADAM,10,0.00474757514894,0.9930838676343048
3,512,1e-05,500,SGD,5,0.5976218581199646,-0.0012091409515672
5,64,0.01,50,SGD,5,0.0099696740508079,0.9861247206558442
5,64,0.01,50,SGD,10,0.0084412582218647,0.9878256173888174
5,64,0.01,50,RMSprop,5,0.157568410038948,0.748240118792503
5,64,0.01,50,RMSprop,10,0.1390308886766433,0.7697662717942763
5,64,0.01,50,ADAM,5,0.0424202010035514,0.9317081911388
5,64,0.01,50,ADAM,10,0.058170486241579,0.9003129703227254
5,64,0.01,100,SGD,5,0.0096336267888545,0.986439588373162
5,64,0.01,100,SGD,10,0.0073146666400134,0.9889508605260112
5,64,0.01,100,RMSprop,5,0.1587638258934021,0.7279299349949131
